รหัสรายการ,จังหวัด,ชื่อหน่วยงาน,ประเภทสถานที่,รูปแบบการศึกษา,กลุ่มเป้าหมาย,ขอบเขต/รูปแบบการเรียนรู้,อำเภอ,ตำบล,พิกัดที่ตั้ง,แถวต้นฉบับ,ข้อควรตรวจสอบ
TZD-787219E751,กระบี่,วิทยาลัยเกษตรและเทคโนโลยีกระบี่,วิชาชีพ,ในระบบ,นักเรียนที่หลุดจากระบบการศึกษาช่วงอา,"วิชาการเกษตร, การประมง, การเลี้ยงสัตว์, การงานอาชีพ",เหนือคลอง,ห้วยยูง,ตำบลห้วยยูง อำเภอเหนือคลอง,2,ข้อความกลุ่มเป้าหมายอาจถูกตัดในต้นฉบับ
TZD-F2B78872FD,กระบี่,วิทยาลัยสารพัดช่างกระบี่,วิชาชีพ,นอกระบบ,เยาวชนที่อยู่นอกระบบการศึกษา อายุ 15-18 ปี ที่ต้องการมีอาชีพ,ธุรกิจโรงแรม การท่องเที่ยว การงานอาชีพ,เมืองกระบี่,ไสไทย,ตำบล ไสไทย อำเภอเมือง,3,
TZD-416F799F6B,กระบี่,มูลนิธินายศรีผ่อง-นางกี่ ภูเก้าล้วน,วิชาชีพ,นอกระบบ,เยาวชนที่อยู่นอกระบบการศึกษา อายุ 15-18 ปี ที่ต้องการมีอาชีพ,การปศุสัตว์,เมืองกระบี่,ปากน้ำ,ตำบลปากน้ำ อำเภอเมือง,4,
TZD-A3A84A5BAE,กระบี่,ฟาร์มแพะศรีผ่อง,วิชาชีวิต,ตามอัธยาศัย,เยาวชนที่อยู่นอกระบบการศึกษา อายุ 15-18 ปี ที่ต้องการมีอาชีพ,การเลี้ยงแพะ,เมืองกระบี่,กระบี่ใหญ่,ตำบลกระบี่ใหญ่ อำเภอเมือง,5,
TZD-510FAA228E,กระบี่,กลุ่มรัฐวิสาหกิจชุมชน,วิชาชีวิต,ตามอัธยาศัย,เยาวชนที่อยู่นอกระบบการศึกษา อายุ 15-18 ปี ที่ต้องการมีอาชีพ,เกษตร ประมง ขับเรือ ทำเรือ,,,สนง. พัฒนาชุมชนตำบล/อำเภอ/จังหวัด,6,
TZD-7E5FB383A2,กระบี่,สำนักงานพัฒนาฝีมือแรงงานที่ 45,วิชาชีวิต,ตามอัธยาศัย,เยาวชนที่อยู่นอกระบบการศึกษา อายุ 15-18 ปี ที่ต้องการมีอาชีพ,ช่างต่างๆ ตัดผมสตรี,เมืองกระบี่,ไสไทย,ตำบลไสไทย อำเภอเมือง,7,
TZD-340FE5110C,กรุงเทพมหานคร,สกร ระดับเขต (ศูนย์การเรียนรู้ชุมชน),วิชาการ,นอกระบบ,เด็กและเยาวชนนอกระบบการศึกษาอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศึกษาการศึกษาขั้นพื้นฐานและการศึกษาต่อเนื่อง,,,180 แขวง 50 เขต ทั่วกทม,8,
TZD-4DE945B7E5,กรุงเทพมหานคร,วิทยาลัยสารพัดช่างธนบุรี เขตคลองสาน,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะอาชีพต่างๆ,ฝึกอบรมทักษะอาชีพระยะสั้นต่างๆ,คลองสาน,,คลองสาน,9,
TZD-08D8291A9D,กรุงเทพมหานคร,วิทยาลัยช่างพระนคร เขตป้อมปราบ,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะอาชีพต่างๆ,ฝึกอบรมทักษะอาชีพระยะสั้นต่างๆ,ป้อมปราบศัตรูพ่าย,,เขตป้อมปราบฯ,10,
TZD-F2FA0188B8,กรุงเทพมหานคร,วิทยาลัยสารพัดช่างนครหลวง เขตบางพลัด,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะอาชีพต่างๆ,ฝึกอบรมทักษะอาชีพระยะสั้นต่างๆ,บางพลัด,,บางพลัด,11,
TZD-7C2C01E166,กรุงเทพมหานคร,วิทยาลัยช่างสี่พระยา เขตบางรัก,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะอาชีพต่างๆ,ฝึกอบรมทักษะอาชีพระยะสั้นต่างๆ,บางรัก,,บางรัก,12,
TZD-206FA3C27F,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพวัดธรรมมงคล,วิชาชีพ,ตามอัธยาศัย,,,พระโขนง,,เขตพระโขนง,13,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-C3D0D77AFA,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพสวนลุมพินี,วิชาชีพ,ตามอัธยาศัย,,,ปทุมวัน,,เขตปทุมวัน,14,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-4CFD4764F5,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพสะพานสูง,วิชาชีพ,ตามอัธยาศัย,,,สะพานสูง,,เขตสะพานสูง,15,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-11A90AAA25,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพวัดวรจรรยาวาส,วิชาชีพ,ตามอัธยาศัย,,,บางคอแหลม,,เขตบางคอแหลม,16,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-0E7DD1ECF4,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพบางพลัด,วิชาชีพ,ตามอัธยาศัย,,,บางพลัด,,เขตบางพลัด,17,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-2B62486D27,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพจตุจักร2 (มีนบุรี),วิชาชีพ,ตามอัธยาศัย,,,มีนบุรี,,เขตมีนบุรี,18,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-F5D049FE33,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพวัดสุทธาวาส บางกอกน้อย,วิชาชีพ,ตามอัธยาศัย,,,บางกอกน้อย,,เขตบางกอกน้อย,19,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-8BFB6AF5EC,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพจตุจักร 1,วิชาชีพ,ตามอัธยาศัย,,,จตุจักร,,เขตจตุจักร 1,20,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-B180E66780,กรุงเทพมหานคร,ศูนย์ฝึกอาชีพบางกะปิ,วิชาชีพ,ตามอัธยาศัย,,,บางกะปิ,,เขตบางกะปิ,21,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-7EC7E4B93C,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม ดินแดง1,วิชาชีพ,นอกระบบ,,,ดินแดง,,เขตดินแดง,22,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-95AB86D5FE,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม ดินแดง 2,วิชาชีพ,นอกระบบ,,,ดินแดง,,เขตดินแดง,23,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-5F43312A79,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม คลองเตย,วิชาชีพ,นอกระบบ,,,คลองเตย,,เขตคลองเตย,24,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-3651E4FDFA,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม ประเวศ,วิชาชีพ,นอกระบบ,,,คลองเตย,,เขตคลองเตย,25,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-EAB6BAE396,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม หนองจอก,วิชาชีพ,นอกระบบ,,,หนองจอก,,เขตหนองจอก,26,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-44295F7419,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม บางรัก,วิชาชีพ,นอกระบบ,,,บางรัก,,เขตบางรัก,27,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-25BCB45919,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม หลวงพ่อทวีศักดิ์,วิชาชีพ,นอกระบบ,,,หนองแขม,,เขตหนองแขม,28,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-ACF5CDEA6A,กรุงเทพมหานคร,โรงเรียนฝึกอาชีพกทม กาญจนสิงหาสน์,วิชาชีพ,นอกระบบ,,,ตลิ่งชัน,,เขตตลิ่งชัน,29,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
